titre,entreprise,contrat,localisation,lien,date_scraping,source,mot_cle_recherche,description
Alternance - 1 à 2 ans - Développeur Python - Global Trade F/H,Natixis,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/natixis/jobs/alternance-1-a-2-ans-developpeur-python-global-trade-f-h_paris_NATIX_aK5yQ6O,2026-03-24,WTTJ,développeur python,
Alternance - Ingénieur développeur Python F/H,Atos,Alternance,Orléans,https://www.welcometothejungle.com/fr/companies/atos/jobs/alternance-ingenieur-developpeur-python-f-h_orleans,2026-03-24,WTTJ,développeur python,
Alternance - Développeur Python / Rust  F/H - Paris,Groupe Bpce,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-bpce/jobs/alternance-developpeur-python-rust-f-h-paris_paris-13e-arrondissement,2026-03-24,WTTJ,développeur python,
Alternance - Développeur Full Stack/Angular/Python (F/H) Nantes,Bpce Solutions Informatiques,Alternance,Saint-Herblain,https://www.welcometothejungle.com/fr/companies/bpce-solutions-informatiques/jobs/alternance-developpeur-full-stack-angular-python-f-h-nantes_saint-herblain,2026-03-24,WTTJ,développeur python,
Alternance - 1 ou 2 ans - Développeur F/H,Natixis,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/natixis/jobs/consultant-comptable-comptabilite-fiscalite-cdi-h-f_paris,2026-03-24,WTTJ,développeur python,
ALTERNANCE – Développeur logiciel embarqué temps-réel – F/H,Thales,Alternance,Cholet,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-developpeur-logiciel-embarque-temps-reel-f-h_cholet,2026-03-24,WTTJ,développeur python,
Stage 6 mois - Développeur - Roubaix,Ovh,Stage,Roubaix,https://www.welcometothejungle.com/fr/companies/ovh/jobs/stage-6-mois-developpeur-roubaix_roubaix,2026-03-24,WTTJ,développeur python,
Stage - Developpeur IA,Ovh,Stage,Roubaix,https://www.welcometothejungle.com/fr/companies/ovh/jobs/stage-developpeur-ia_roubaix_OVHCL_Y2lOdxY,2026-03-24,WTTJ,développeur python,
Stage - Developpeur IA,Ovh,Stage,Roubaix,https://www.welcometothejungle.com/fr/companies/ovh/jobs/stage-developpeur-ia_roubaix,2026-03-24,WTTJ,développeur python,
Stage Developpeur FRONT-END,Eveler,Stage,Rueil-Malmaison,https://www.welcometothejungle.com/fr/companies/eveler/jobs/stage-developpeur-front-end_rueil-malmaison,2026-03-24,WTTJ,développeur python,
Stage Developpeur BACK-END,Eveler,Stage,Rueil-Malmaison,https://www.welcometothejungle.com/fr/companies/eveler/jobs/stage-developpeur-back-end_rueil-malmaison,2026-03-24,WTTJ,développeur python,
