titre,entreprise,contrat,localisation,lien,date_scraping,source,mot_cle_recherche,description
Stage - Paid Media Manager,Numberly 1000mercis,Stage,Paris,https://www.welcometothejungle.com/fr/companies/numberly-1000mercis/jobs/stage-paid-media-manager_paris-9e-arrondissement_NUMBE_PD54b1l,2026-03-23,WTTJ,data,
Analyste Finance et Data H/F - Stage,Allianz,Stage,Puteaux,https://www.welcometothejungle.com/fr/companies/allianz/jobs/analyste-finance-et-data-h-f-stage_puteaux,2026-03-23,WTTJ,data,
ALTERNANCE 12 MOIS - À partir de septembre 2026 - Data Gouvernance - Novéal Site Thillay/Aulnay - Master 1/2,L Oreal,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/l-oreal/jobs/alternance-12-mois-a-partir-de-septembre-2026-data-gouvernance-noveal-site-thillay-aulnay-master-1-2_paris,2026-03-23,WTTJ,data,
ALTERNANCE - Assistant Pilotage Portefeuille Produits Data (H/F),Hermes,Alternance,Pantin,https://www.welcometothejungle.com/fr/companies/hermes/jobs/alternance-assistant-pilotage-portefeuille-produits-data-h-f_pantin_HERMS_KpQmd5Y,2026-03-23,WTTJ,data,
Alternance - Data Analyst F/H - Paris,Groupe Bpce,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-bpce/jobs/alternance-data-analyst-f-h-paris_paris-13e-arrondissement_GB_a8jkRmr,2026-03-23,WTTJ,data,
Data Analyst Risque et Provisionnement (F/H) en alternance,Carrefour,Alternance,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-analyst-risque-et-provisionnement-f-h-en-alternance_massy,2026-03-23,WTTJ,data,
Alternance Chargé d'études Data et reporting F/H,La Poste Service Courrier Colis,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/la-poste-service-courrier-colis/jobs/alternance-charge-d-etudes-data-et-reporting-f-h_paris,2026-03-23,WTTJ,data,
Alternance - Data Analyst H/F,Abeille Assurances Aema Groupe,Alternance,Bois-Colombes,https://www.welcometothejungle.com/fr/companies/abeille-assurances-aema-groupe/jobs/alternance-data-analyst-h-f_bois-colombes,2026-03-23,WTTJ,data,
Alternance - Data Analyst F/H,Abeille Assurances Aema Groupe,Alternance,Bois-Colombes,https://www.welcometothejungle.com/fr/companies/abeille-assurances-aema-groupe/jobs/alternance-data-analyst-f-h_bois-colombes,2026-03-23,WTTJ,data,
Stage - Data Scientist,Ovh,Stage,Toulouse,https://www.welcometothejungle.com/fr/companies/ovh/jobs/stage-data-scientist_toulouse,2026-03-23,WTTJ,data,
Stage Consultant Data & Tech F/H,Wpp Media,Stage,Paris,https://www.welcometothejungle.com/fr/companies/wpp-media/jobs/stage-consultant-data-tech-f-h_paris,2026-03-23,WTTJ,data,
ALTERNANCE - DATA ENGINEER - (F/H/X),Canal Group,Alternance,Puteaux,https://www.welcometothejungle.com/fr/companies/canal-group/jobs/alternance-data-engineer-f-h-x_puteaux,2026-03-23,WTTJ,data,
Data Scientist (H/F) - Stage 6 mois (stage de césure ou de fin d'études possible),Allphins,Stage,Paris,https://www.welcometothejungle.com/fr/companies/allphins/jobs/data-scientist-h-f-stage-6-mois-teletravail-possible_paris,2026-03-23,WTTJ,data,
